sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
冬山,宜蘭縣,33,,良好,1.2,0.18,33.2,36.5,18,12,3.1,3.9,0.8,1.5,254,"2022/12/22 01:00:00",0.2,10,26,0,121.792928,24.632203,66
三重,新北市,58,細懸浮微粒,普通,1.3,0.86,3.3,2.9,28,15,31,67.6,36.6,-,-,"2022/12/22 01:00:00",1.5,18,33,1,121.493806,25.072611,67
中壢,桃園市,62,細懸浮微粒,普通,1,0.79,14.7,8.1,38,18,24.4,36.3,11.9,0.3,236,"2022/12/22 01:00:00",1.2,19,40,1,121.221667,24.953278,68
竹山,南投縣,39,,良好,1.2,0.28,9.4,19.1,20,12,15.8,16.6,0.8,0.4,7,"2022/12/22 01:00:00",0.2,12,25,1,120.677306,23.756389,69
永和,新北市,44,,良好,0.3,0.43,17.4,8.8,21,13,12.9,15.8,2.8,1,173,"2022/12/22 01:00:00",0.7,13,27,0,121.516306,25.017,70
復興,高雄市,51,細懸浮微粒,普通,1.3,0.33,24.1,23.9,19,11,11.9,12.7,0.8,1.6,113,"2022/12/22 01:00:00",0.4,15,32,1,120.312017,22.608711,71
埔里,南投縣,35,,良好,1.6,0.24,13,25.3,20,9,6.1,6.5,0.3,0.3,283,"2022/12/22 01:00:00",0.2,10,20,1,120.967903,23.968842,72
馬祖,連江縣,51,細懸浮微粒,普通,1.1,0.19,47.7,50.7,17,16,5,5.5,0.5,1.3,34,"2022/12/22 01:00:00",0.1,15,20,1,119.93149378,26.15188416,75
金門,金門縣,70,細懸浮微粒,普通,2,0.32,23.8,35.2,54,31,11.3,11.3,0,2,23,"2022/12/22 01:00:00",0.3,23,42,1,118.312256,24.432133,77
馬公,澎湖縣,45,,良好,1,0.18,49.2,49.6,21,12,2.5,2.9,0.3,4.5,14,"2022/12/22 01:00:00",0.2,13,23,0,119.566158,23.569031,78
關山,臺東縣,29,,良好,1,0.17,32.1,31.1,12,7,2,2.7,0.7,1.9,26,"2022/12/22 01:00:00",0.1,7,12,0,121.161933,23.045083,80
麥寮,雲林縣,46,,良好,3.4,0.19,45.2,36.3,30,14,4.3,4.5,0.2,6.1,1,"2022/12/22 01:00:00",0.2,14,33,2,120.251825,23.753506,83
富貴角,新北市,56,懸浮微粒,普通,0.3,0.14,54.6,54.3,58,12,2.1,2,0,4.7,28,"2022/12/22 01:00:00",0.1,13,56,0,121.53656894,25.29681695,84
大城,彰化縣,42,,良好,0.9,0.17,45.7,38.3,43,13,4,4.3,0.3,6.9,44,"2022/12/22 01:00:00",0.2,12,38,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,39,,良好,1.2,0.18,36.4,27.3,15,8,6.7,7.1,0.3,1.2,355,"2022/12/22 01:00:00",0.2,12,23,1,120.56373,23.96117,201
高雄(湖內),高雄市,55,細懸浮微粒,普通,2.2,0.24,27,25.3,21,17,14.8,16,1.2,1.6,126,"2022/12/22 01:00:00",0.2,17,25,2,120.24535,22.87985556,202
臺南(麻豆),臺南市,42,,良好,0.9,0.23,29.2,28.7,22,11,9.7,10.5,0.7,2.2,357,"2022/12/22 01:00:00",0.2,13,30,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,74,細懸浮微粒,普通,4.4,0.35,19,23.1,,17,18,18.5,0.4,3.9,328,"2022/12/22 01:00:00",0.5,24,52,3,120.37722,22.35222,204
宜蘭(壯圍),宜蘭縣,40,,良好,0.3,0.2,39.2,43.8,27,11,3.7,3.8,0.1,0.1,313,"2022/12/22 01:00:00",0.1,10,27,0,121.815708,24.765468,310
新北(樹林),新北市,51,細懸浮微粒,普通,0.1,0.28,15.1,14.3,29,14,13.4,21.4,8,0,44,"2022/12/22 01:00:00",0.3,15,26,0,121.38352778,24.94902778,311
臺南(學甲),臺南市,46,,良好,2.1,0.17,33.3,32.1,23,13,8.8,9.5,0.6,2.8,12,"2022/12/22 01:00:00",0.1,14,35,0,120.18339722,23.23688056,312
屏東(枋山),屏東縣,70,細懸浮微粒,普通,0.9,0.2,21.2,30.3,43,18,7.6,7.9,0.3,1.9,324,"2022/12/22 01:00:00",0.2,23,49,2,120.651472,22.260899,313
