SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
觀音,桃園市,35,,良好,3.9,0.57,0.6,31,33,16,10,9.7,10,0.5,5.3,66,2019-12-19 01:00,11,21,4,121.082761,25.035503,19
大園,桃園市,33,,良好,3,0.56,0.6,37,36,14,7,,,,6,33,2019-12-19 01:00,9,16,2,121.201811,25.060344,18
桃園,桃園市,19,,良好,5.5,0.73,0.8,20,17,6,4,13,14,1.6,1.8,60,2019-12-19 01:00,6,8,,121.304383,24.995368,17
大同,臺北市,28,,良好,1.5,1.41,2.2,-,,13,6,22,38,16,,,2019-12-19 01:00,9,14,3,121.513311,25.0632,16
松山,臺北市,21,,良好,1.4,0.55,0.6,29,20,9,5,,,,1.6,48,2019-12-19 01:00,7,7,2,121.578611,25.05,15
古亭,臺北市,25,,良好,1.6,0.58,0.7,32,27,9,3,7.1,9.1,1.9,1.7,84,2019-12-19 01:00,4,6,3,121.529556,25.020608,14
萬華,臺北市,16,,良好,1.9,0.68,0.8,29,17,6,5,11,12,1,1.5,90,2019-12-19 01:00,5,7,2,121.507972,25.046503,13
中山,臺北市,15,,良好,1.2,0.68,0.9,29,16,3,4,10,11,1.2,2.2,119,2019-12-19 01:00,4,6,1,121.526528,25.062361,12
士林,臺北市,29,,良好,1.1,0.64,0.6,27,31,7,5,7.1,8.4,1.3,0.9,15,2019-12-19 01:00,2,5,2,121.515389,25.105417,11
淡水,新北市,31,,良好,3.6,0.54,0.6,35,34,4,4,3.2,4.3,1.1,,,2019-12-19 01:00,4,5,3,121.449239,25.1645,10
林口,新北市,29,,良好,0.8,0.55,0.6,32,31,8,2,4.7,5.6,0.9,1.6,55,2019-12-19 01:00,5,8,2,121.376869,25.077197,9
菜寮,新北市,17,,良好,2.4,0.73,0.9,23,18,3,ND,13,14,1.3,1.7,130,2019-12-19 01:00,5,6,2,121.481028,25.06895,8
新莊,新北市,19,,良好,1.5,0.72,0.9,28,21,3,ND,13,14,0.8,1.7,97,2019-12-19 01:00,5,8,2,121.4325,25.037972,7
板橋,新北市,19,,良好,-0.4,0.66,0.8,29,20,2,ND,9.7,11,1.4,1.7,132,2019-12-19 01:00,4,7,1,121.458667,25.012972,6
土城,新北市,26,,良好,3.1,0.6,0.7,29,28,6,2,7.6,7.6,0.1,1.4,140,2019-12-19 01:00,3,6,3,121.451861,24.982528,5
新店,新北市,18,,良好,6.6,0.62,0.7,18,17,6,2,19,20,1.4,0.8,71,2019-12-19 01:00,4,7,3,121.537778,24.977222,4
萬里,新北市,37,,良好,2,0.49,0.5,41,40,20,11,2.6,3.8,1.2,5.4,22,2019-12-19 01:00,10,21,2,121.689881,25.179667,3
汐止,新北市,30,,良好,0.5,0.57,0.6,35,32,3,3,6.7,7.3,0.6,2.5,42,2019-12-19 01:00,3,6,2,121.6423,25.067131,2
基隆,基隆市,34,,良好,1.1,0.5,0.5,39,37,13,6,3.3,4.6,1.3,1.3,91,2019-12-19 01:00,7,11,1,121.760056,25.129167,1
